"hitter_name","batter"
"Feliz, Michael",593140
"Bergman, Christian",548357
"Petricka, Jake",502593
"Kittredge, Andrew",552640
"Wilkerson, Aaron",658792
"Carle, Shane",641438
"Covey, Dylan",592229
"Nuño, Vidal",573064
"Beeks, Jalen",656222
"Ruiz, Rio",547004
"LeBlanc, Wade",453281
"Ramírez, Erasmo",541640
"Stephenson, Robert",596112
"Tanaka, Masahiro",547888
"Reed, Cody",642003
"Bieber, Shane",669456
"Barría, Jaime",642545
"Kluber, Corey",446372
"Shreve, Chasen",592741
"Milone, Tommy",543548
"Toussaint, Touki",657053
"Kelly, Casey",543391
"Vincej, Zach",572227
"Graterol, Juan",492802
"Taylor, Beau",607333
"Straw, Myles",664702
"Castro, Harold",605612
"Guerra, Javy",642770
"Kang, Jung Ho",628356
"Wright, David",431151
"Eickhoff, Jerad",595191
"Zimmermann, Jordan",519455
"Freeman, Mike",502273
"Urías, Julio",628711
"Gale, Rocky",502570
"Sosa, Edmundo",624641
"Voth, Austin",608723
"Velazquez, Andrew",623205
"Skoglund, Eric",607215
"Keller, Brad",641745
"Reid-Foley, Sean",656887
"Musgrave, Harrison",643466
"Rosario, Randy",600968
"Plutko, Adam",592644
"Shackelford, Kevin",594992
"Freeman, Sam",518693
"Soroka, Mike",647336
"Beede, Tyler",595881
"Butler, Eddie",572750
"Bichette, Bo",666182
"Dubón, Mauricio",643289
"Moore, Dylan",664238
"Grisham, Trent",663757
"Jiménez, Eloy",650391
"Guerrero Jr., Vladimir",665489
"Biggio, Cavan",624415
"Lopes, Tim",621005
"Demeritte, Travis",641513
"Rojas, Josh",668942
"Haseley, Adam",656514
"Webb, Logan",657277
"Smith, Will",669257
"Rengifo, Luis",650859
"Reynolds, Bryan",668804
"Keuchel, Dallas",572971
"Markel, Parker",571917
"Neuse, Sheldon",641914
"Castro, Willi",650489
"Alonso, Pete",624413
"Nola, Austin",543592
"Naylor, Josh",647304
"Solano, Donovan",456781
"Alvarez, Yordan",670541
"Hiura, Keston",669374
"Heineman, Scott",595981
"Arteaga, Humberto",600858
"Fraley, Jake",641584
"Dini, Nick",664926
"Thaiss, Matt",642136
"Yastrzemski, Mike",573262
"Arraez, Luis",650333
"Daza, Yonathan",602074
"Solak, Nick",669256
"Starling, Bubba",605490
"Mercado, Oscar",640458
"Chang, Yu",644374
"Díaz, Isan",656371
"Ramírez, Harold",623912
"Dugger, Robert",667498
"Toro, Abraham",647351
"Brown, Seth",664913
"Ford, Mike",645801
"Beaty, Matt",607461
"Martin, Richie",621006
"Aquino, Aristides",606157
"Senzel, Nick",669222
"Brooks, Aaron",605156
"Smyly, Drew",592767
"Hilliard, Sam",656541
"Edman, Tommy",669242
"Gray, Sonny",543243
"Dickerson, Alex",543105
"Thomas, Lane",657041
"Anderson, Shaun",641312
"Vogt, Stephen",519390
"France, Ty",664034
"Brosseau, Mike",670712
"Rodriguez, Eduardo",593958
"Hernández, Marco",593523
"Tovar, Wilfredo",541600
"VanMeter, Josh",642165
"Young, Alex",622065
"Mayfield, Jack",608686
"Bemboom, Anthony",621532
"Rogers, Jake",668670
"Garlick, Kyle",664247
"Tinoco, Jesus",622786
"Lopez, Nicky",670032
"Ríos, Edwin",621458
"Tejada, Rubén",514913
"Gibson, Kyle",502043
"Quantrill, Cal",615698
"Andriese, Matt",542882
"Tatis Jr., Fernando",665487
"Ross, Joe",605452
"McKay, Brendan",656713
"May, Dustin",669160
"Nuñez, Dom",624513
"Pruitt, Austin",643493
"Knizner, Andrew",668800
"Chavis, Michael",656308
"Court, Ryan",606956
"O'Grady, Brian",657434
"Yamamoto, Jordan",657141
"Stubbs, Garrett",596117
"Davis, Taylor",543089
"Underwood Jr., Duane",621249
"Anderson, Brett",474463
"Stammen, Craig",489334
"Clarke, Taylor",664199
"Puello, César",527049
"Riley, Austin",663586
"Tomás, Yasmany",630111
"Green, Zach",608339
"Perdomo, Luis",606131
"Sobotka, Chad",656977
"García, Robel",596825
"Duffy, Danny",518633
"Reed, AJ",607223
"Paddack, Chris",663978
"Menez, Conner",669214
"Lowe, Nathaniel",663993
"Mazza, Chris",607391
"Cron, Kevin",605196
"Lambert, Peter",663567
"Houser, Adrian",605288
"Bradley, Bobby",656252
"Lamet, Dinelson",659275
"Parker, Jarrett",592620
"Collins, Zack",641470
"Gallen, Zac",668678
"Morejon, Adrian",670970
"Doolittle, Sean",448281
"Leyba, Domingo",642736
"Wade Jr., LaMonte",664774
"Paxton, James",572020
"Castillo, Wilkin",446868
"Skaggs, Tyler",572140
"Irvin, Cole",608344
"Allen, Austin",664119
"Long Jr., Shed",643418
"Duplantier, Jon",641541
"Margevicius, Nick",676606
"Tucker, Cole",657061
"Walsh, Jared",665120
"Cabrera, Génesis",650893
"Davis, Johnny",643275
"Lux, Gavin",666158
"Walton, Donovan",622268
"Haggerty, Sam",664059
"Bolt, Skye",621450
"Miller, Ian",641878
"Mejia, Erick",625510
"Heineman, Tyler",623168
"Adames, Cristhian",542436
"Wong, Kean",642221
"Martin, Jason",641829
"Sabathia, CC",282332
"Ryan, Kyle",594986
"Grace, Matt",594840
"Sandoval, Patrick",663776
"McBroom, Ryan",643436
"Davis, Jaylin",664041
"Hays, Austin",669720
"Mejias-Brean, Seth",623180
"Mendick, Danny",664901
"González, Chi Chi",592346
"Lewis, Kyle",641786
"Murphy, Sean",669221
"Grullón, Deivy",620453
