name,pitcher,pitches,hand,fastball,avg_velo,max_velo,offspeed_rate,primary_offspeed,avg_rel_ext,release_angle_ground
Ethan Small,663629,132,L,FF,91.74714285714286,95.6,0.4696969696969697,CH,6.787121212121212,76.85615384203176
Garrett Cleavinger,664076,347,L,FF,94.85378787878788,98.6,0.45821325648414984,SL,6.17514450867052,74.72991990968045
Will Smith,519293,985,L,FF,91.83789731051344,95.1,0.584771573604061,SL,6.154213197969543,76.764779715004
Jarlín García,606424,1015,L,FF,94.15264367816091,96.5,0.5714285714285714,CH,6.505418719211822,73.49384890813396
Kyle Nelson,669459,593,L,FF,91.21441860465116,94.9,0.6374367622259696,SL,5.917200674536256,81.78812785876168
T. J. McFarland,519008,487,L,FT,87.60723684210527,90,0.37166324435318276,CH,5.563244353182752,70.9565625654636
Trevor Rogers,669432,1940,L,FF,94.66383186705767,98.7,0.4706185567010309,CH,6.712641898864809,66.20716542681969
MacKenzie Gore,669022,1258,L,FF,95.45084967320261,99.4,0.39109697933227344,CB,6.871201272871917,75.4492053907807
David Peterson,656849,1888,L,FF,94.86103351955308,99.2,0.5042372881355932,SL,7.03125,70.42437815118724
Keegan Akin,669211,1235,L,FF,92.502492211838,95.4,0.4801619433198381,SL,5.860242914979757,69.07301942917034
Zack Thompson,668868,575,L,FF,95.64294871794871,100.4,0.3965217391304348,CB,6.681913043478261,78.96210072645293
Joe Mantiply,573009,861,L,FT,90.27115384615385,93.2,0.562137049941928,CB,6.413821138211382,59.60710699020797
Joely Rodríguez,570257,842,L,FT,92.37573529411765,95.3,0.4477434679334917,CH,6.281947743467933,54.71167929639667
Konnor Pilkington,663455,1039,L,FF,92.40744680851064,96.9,0.36573628488931664,CH,6.413474494706448,73.16805252136442
Steven Matz,571927,849,L,FT,92.3133495145631,97.6,0.5147232037691402,CH,6.370963855421687,72.19829617393228
Taylor Hearn,621368,1787,L,FF,94.64215456674474,98.5,0.3559037493005036,SL,6.3497760358342665,67.538110285454
Darwinzon Hernández,650382,182,L,FF,94.65495495495496,98.3,0.39010989010989017,SL,6.798895027624309,60.79878105194166
Tanner Banks,621383,897,L,FF,92.1818407960199,95.6,0.5507246376811594,SL,5.879264214046823,68.76988774079481
JoJo Romero,668941,271,L,FT,93.50857142857143,96.6,0.5092250922509225,CH,5.39040590405904,76.45286674350666
Zach Logue,656657,1022,L,FF,88.98151093439364,91.8,0.29354207436399216,CB,5.611937377690802,64.15690309477661
JP Sears,676664,1079,L,FF,93.35531914893618,96.6,0.4337349397590362,SL,6.395732838589981,75.56148200902376
Chris Sale,519242,102,L,FF,94.84054054054054,97.1,0.5392156862745099,SL,6.491176470588235,59.47897576816631
Caleb Thielbar,573204,996,L,FF,92.80325203252032,95.8,0.5060240963855421,SL,6.253815261044177,86.65848458678136
Jared Koenig,657649,653,L,FT,89.61181102362205,94.4,0.35068912710566613,CB,6.53813169984686,70.16321711102893
Daniel Lynch,663738,2435,L,FF,95.21807802093244,98.3,0.5371663244353182,SL,6.855154004106776,76.56578659568352
Tanner Tully,668684,116,L,FF,90.65797101449276,93.1,0.4051724137931034,SL,5.996551724137931,67.22362273896358
Daniel Norris,596057,1010,L,FF,90.58396501457726,94.6,0.5811881188118811,SL,5.792970297029703,65.79484623495732
Devin Smeltzer,656970,1129,L,FF,88.56674208144797,92.9,0.5031000885739593,CH,5.848804251550044,69.70883618927309
Dallas Keuchel,572971,1165,L,FT,86.51715399610137,89.4,0.3424892703862661,CH,5.976116838487973,76.7914410348647
Matthew Liberatore,669461,650,L,FF,93.66306306306306,98.1,0.45384615384615384,CB,6.367796610169491,84.62050027195502
Kolby Allard,663465,299,L,FF,90.65786163522013,93.2,0.24749163879598662,CH,6.038795986622073,71.53183195670577
Josh Fleming,676596,662,L,FT,90.9475138121547,94.7,0.2990936555891239,CH,6.416163141993958,62.424264610984906
Cristopher Sánchez,650911,662,L,FT,94.23910891089109,96.9,0.38972809667673713,CH,7.075075528700906,76.12155790936701
Matt Strahm,621381,764,L,FF,93.99109589041096,96.2,0.4712041884816754,SL,6.265137614678899,65.98443055938772
Eric Stout,657770,449,L,FF,91.08333333333333,93.4,0.6525612472160356,SL,5.795991091314031,62.438651626003704
Bruce Zimmermann,669145,1130,L,FF,90.22042682926829,93.3,0.608849557522124,CH,6.091681415929203,81.00455775757978
John King,667463,749,L,FT,91.64311224489796,94.5,0.39519359145527366,CH,5.955674232309747,66.4778448858615
Alex Young,622065,445,L,FT,90.19375,91.9,0.6966292134831461,CB,5.883146067415731,70.25650924541547
Matt Gage,657424,187,L,FF,92.709375,95.8,0.058823529411764705,SL,6.294117647058823,74.65129068517349
Anthony Gose,543238,389,L,FF,95.06454183266932,99.4,0.3521850899742931,SL,6.057255936675462,81.65770448266025
Ray Kerr,678061,88,L,FF,95.121875,98,0.5909090909090908,SL,5.939772727272727,63.52232855371791
Chasen Shreve,592741,474,L,FF,90.3388625592417,92.7,0.5548523206751055,SP,6.426371308016877,70.26102958046629
Rich Hill,448179,1990,L,FF,88.27415254237287,92.2,0.5020100502512563,CB,6.121206030150754,73.429195736077
Cam Vieaux,664944,208,L,FF,92.58510638297872,94.4,0.5480769230769231,SL,5.962019230769231,71.29411651447548
Ty Blach,621389,674,L,FT,89.47324324324325,92.7,0.28189910979228483,CH,5.23946587537092,65.3251095947025
Aaron Fletcher,667465,173,L,FT,89.63058823529411,92.3,0.5086705202312138,CH,5.787283236994219,63.15623888433399
Justin Bruihl,677865,341,L,CUT,87.37818181818182,89.8,0.19941348973607037,SL,6.682111436950146,61.31253286017177
Francisco Pérez,660906,205,L,FF,92.61162790697675,96.1,0.37073170731707317,SL,5.8951219512195125,83.66697309484876
Foster Griffin,656492,111,L,CUT,89.16,93.8,0.3063063063063063,CB,6.221621621621622,74.32953845995935
Gabe Speier,642100,298,L,FT,92.99569892473119,95.3,0.4429530201342282,SL,5.986912751677853,70.55532701588824
Kenny Rosenberg,670046,193,L,FF,89.95568181818182,93.5,0.5440414507772021,CH,5.747668393782384,79.21544662913436
Roenis Elías,606273,114,L,FF,92.20217391304348,93.6,0.5701754385964912,CH,5.52719298245614,75.65576304034714
Justus Sheffield,656954,179,L,FT,91.15714285714286,93.5,0.5307262569832403,SL,5.9111731843575415,76.9622737945271
Evan Lee,681885,165,L,FF,91.49418604651163,95.8,0.47878787878787876,CB,5.934545454545455,81.76515955599608
Ryan Weathers,677960,89,L,FF,92.61333333333333,94.8,0.4943820224719101,SL,5.759550561797753,75.07739391738906
Bennett Sousa,656986,365,L,FF,93.88,97,0.5753424657534246,SL,6.263013698630137,76.41343612481089
Sean Newcomb,656794,552,L,FF,85.3608552631579,95.7,0.11594202898550723,CB,5.734842519685039,76.88653493994941
Jose Alvarez,501625,273,L,FT,90.9906474820144,93.6,0.45054945054945056,CH,6.45970695970696,70.30074516998445
Wade Miley,489119,561,L,CUT,84.96974789915966,88,0.40819964349376114,CH,6.125846702317291,72.05834972884543
Jhonathan Diaz,646242,236,L,FF,91.66935483870968,93.6,0.5,SL,6.676271186440678,58.60085778352824
Andrew Vasquez,607755,153,L,FT,88.62045454545455,91.8,0.7124183006535948,CB,6.186928104575164,65.63414883207858
Aaron Bummer,607481,457,L,FT,94.57747440273037,98.2,0.2778993435448578,SL,6.32472647702407,65.95459321285927
Parker Mushinski,656786,111,L,CUT,87.3344827586207,89.3,0.5135135135135135,CB,6.40990990990991,76.94241120859265
Blake Taylor,642130,305,L,FF,93.25619469026549,96.1,0.25901639344262295,SL,6.635737704918033,77.82940821943829
Josh Rogers,642028,419,L,FF,90.00457142857142,93,0.45107398568019097,SL,6.192601431980907,64.80940471810587
Hyun Jin Ryu,547943,395,L,FF,89.54545454545455,93.5,0.4481012658227848,CH,6.564050632911393,70.39829917045932
Paul Fry,643316,232,L,FF,91.35844155844156,93.4,0.6681034482758621,SL,6.115948275862069,64.29998175795059
Anthony Misiewicz,664948,465,L,CUT,88.38670520231214,92,0.34408602150537637,CB,5.812688172043011,84.15051070939016
Ken Waldichuk,686610,586,L,FF,95.02960725075529,98,0.4351535836177474,SL,6.99419795221843,62.8352649894689
Michael Plassmeyer,674681,99,L,FF,89.04912280701754,91.2,0.4242424242424242,CH,6.308080808080808,64.34918393968015
Andrew Nardi,677053,374,L,FF,95.09071729957806,97.5,0.36631016042780745,SL,6.824064171122995,64.27120075150583
DL Hall,669084,269,L,FF,96.82428571428571,99.5,0.4795539033457249,SL,6.737546468401487,60.89722665128093
Rob Zastryzny,642239,72,L,FF,92.58387096774193,94.8,0.4861111111111111,CH,6.475,72.29224889125386
Eduardo Rodriguez,593958,1469,L,FF,91.56810506566605,94.7,0.2021783526208305,CH,6.148228882833787,72.62540457376625
Jesús Luzardo,666200,1644,L,FF,95.0964125560538,98.7,0.5267639902676399,CB,5.753892944038929,71.35993942157977
Tommy Henry,674072,773,L,FF,92.02027972027972,95.1,0.4424320827943079,SL,6.528072445019405,72.81564609568395
Matt Boyd,571510,192,L,FF,92.54761904761905,94.8,0.5260416666666667,SL,6.119270833333333,66.91511399974105
Joey Wentz,666214,555,L,FF,91.79803921568627,96.3,0.22882882882882882,CH,6.202169981916818,82.80083308850408
Tucker Davidson,656353,912,L,FF,93.12332361516034,96.7,0.5701754385964912,SL,6.1895718990120745,76.143745646639
Thomas Szapucki,663378,291,L,FF,95.34915254237288,98,0.3917525773195876,CB,6.230584192439863,68.15855991189551
Cole Ragans,666142,706,L,FF,91.41624203821657,94.6,0.3909348441926346,CH,6.103682719546742,82.6957339104047
Scott Alexander,518397,214,L,FT,92.26013071895424,94.8,0.2850467289719626,CH,6.124766355140187,72.27172153699635
Zack Britton,502154,39,L,FT,91.653125,93.6,0.1794871794871795,SL,5.776923076923077,79.5114904816067
Kyle Muller,666205,233,L,FF,94.81284403669724,98,0.5321888412017167,SL,6.512446351931331,77.03123524975679
Alex Claudio,592222,50,L,FT,83.9037037037037,85.6,0.45999999999999996,CH,5.804,59.745953467655525
Brendon Little,663893,22,L,FT,93.02666666666667,94.8,0.3181818181818182,SL,5.695454545454545,80.50784527642772
José Castillo,620454,16,L,FF,94.4,96.4,0.5,SL,6.4125,62.388292307160356
Nate Fisher,688010,50,L,FF,90.61666666666667,92.7,0.52,SL,5.336,66.1239579291937
Sam Clay,621348,100,L,FT,90.86901408450704,93.9,0.29000000000000004,SL,5.591,79.51664994544538
Danny Young,664849,126,L,FT,87.65384615384616,88.9,0.5873015873015873,SL,5.747619047619048,53.30776793365831
Matt Dermody,571616,26,L,FF,92.54285714285714,93.1,0.5769230769230769,SL,6.1923076923076925,80.04900773625913
Shane Bieber,669456,2875,R,FF,91.88939393939394,95.3,0.4897391304347827,SL,6.626270006958943,76.95759492278148
Miles Mikolas,571945,3151,R,FF,93.72584400465658,97.8,0.5011107584893685,SL,6.420469692161219,72.55255002512453
Merrill Kelly,518876,3071,R,FF,92.09921875,95.3,0.3552588733311625,CH,6.15167807103291,72.94944593636887
Logan Webb,657277,3005,R,FT,92.43757575757576,95.8,0.6382695507487521,SL,6.733777038269551,72.76064457708138
Gerrit Cole,543037,3274,R,FF,97.76955241460541,102.1,0.4178375076359194,SL,6.415058032987171,72.13672212943283
Beau Brieske,689225,1287,R,FF,93.36195286195286,96.1,0.466977466977467,CH,5.809479409479409,79.98298579571879
Vince Velasquez,592826,1286,R,FF,93.75256637168141,97,0.4797822706065319,SL,6.585591900311527,77.33608286533426
